Date,No.,Description,Debit,Credit
7/16/2022,,Pending - 07/15 - KROGER 5578,290.15,
7/15/2022,,VISA - 07/13 SP MYTHICAL STORE HTTPSMYTHICAL CA 013666,110.36,
7/13/2022,,"VISA - 07/11 IN *TRINITY VALLEY RANCH, 512-7487277 TX 011",130,
7/12/2022,,MOBILE BANKING PAYMENT FROM CHECKING,,-600
7/12/2022,,VISA - 07/09 KROGER 5578 972-244-7680 TX 008936,315.8,
7/12/2022,,VISA - 07/10 OUTSCHOOL HTTPSOUTSCHOO CA 010336,12,
7/11/2022,,"VISA - 07/08 IN *TRINITY VALLEY RANCH, 512-7487277 TX 007",130,
7/9/2022,,VISA - 07/07 CHEWY.COM 800-672-4399 FL 007966,500.35,
7/9/2022,,VISA - 07/06 UPTOWN CHEAPSKATE WYLIE WYLIE TX 006438,89.79,
7/8/2022,,MOBILE BANKING PAYMENT FROM CHECKING,,-214.5
7/8/2022,,VISA - 07/07 DISNEY PLUS BURBANK CA 007706,8.57,
7/5/2022,,MOBILE BANKING PAYMENT FROM CHECKING,,-500
7/5/2022,,VISA - 07/01 KROGER 5578 972-244-7680 TX 001566,183.16,
7/5/2022,,VISA - 07/02 OUTSCHOOL HTTPSOUTSCHOO CA 002823,129,
7/5/2022,,VISA - 07/01 RECREATIONAL REALTY 833-869-2699 TX 001563,122.19,
7/5/2022,,VISA - 07/03 OUTSCHOOL HTTPSOUTSCHOO CA 003915,12,
7/5/2022,,VISA - 07/03 HLU*HULU 422880258992-U HULU.COM/BILL CA 003,7.5,
7/5/2022,,VISA - 07/02 MUSICNOTES.COM 8009444667 WI 001472,6.27,
7/2/2022,,VISA - 06/30 KROGER #0578 WYLIE TX 030745,73.35,
7/2/2022,,VISA - 06/30 KOHL'S #1393 WYLIE TX 030021,45.47,
7/2/2022,,VISA - 06/30 PARAMOUNT+ 888-274-5343 CA 029112,5.99,
7/1/2022,,INTEREST CHARGE,0,
7/1/2022,,"VISA - 06/29 IN *TRINITY VALLEY RANCH, 512-7487277 TX 029",65,
6/30/2022,,VISA - 06/28 COSERV ELECTRIC 940-321-7800 TX 028294,29,
6/28/2022,,VISA - 06/26 OUTSCHOOL HTTPSOUTSCHOO CA 026025,15,
6/28/2022,,VISA - 06/26 OUTSCHOOL HTTPSOUTSCHOO CA 026567,12,
6/27/2022,,MOBILE BANKING PAYMENT FROM CHECKING,,-297.29
6/27/2022,,VISA - 06/24 NETFLIX.COM NETFLIX.COM CA 024659,19.99,
6/24/2022,,"VISA - 06/22 IN *TRINITY VALLEY RANCH, 512-7487277 TX 022",65,
6/24/2022,,VISA - 06/23 MUSICNOTES.COM 800-944-4667 WI 022960,10.59,
6/21/2022,,VISA - 06/19 OUTSCHOOL HTTPSOUTSCHOO CA 019501,32,
6/21/2022,,VISA - 06/18 WALMART.COM AA 800-966-6546 AR 017604,29.18,
6/21/2022,,VISA - 06/18 WALMART.COM AA 800-966-6546 AR 017604,21.62,
